"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
71	15.060404	14.558235	-9.030673	0.118427	0.240770	-0.963330	-0.885782	0.464047	0.007088	0.448737	0.852461	0.268226
72	15.214271	14.834153	-9.978980	0.189471	0.310382	-0.931538	-0.884560	0.465771	-0.024724	0.426210	0.828686	0.362802
73	15.439485	15.177648	-10.890218	0.260981	0.375848	-0.889172	-0.879243	0.472802	-0.058216	0.398522	0.796992	0.453854
74	15.735700	15.584168	-11.753961	0.331167	0.436304	-0.836640	-0.868911	0.486693	-0.090132	0.367863	0.756814	0.540286
75	16.101147	16.048455	-12.560137	0.399490	0.491052	-0.774129	-0.852920	0.508646	-0.117501	0.336058	0.707211	0.622027
76	16.534194	16.562920	-13.299624	0.466514	0.535897	-0.703690	-0.829919	0.540374	-0.138675	0.305941	0.648699	0.696843
77	17.033772	17.116600	-13.965131	0.532779	0.569300	-0.626135	-0.798942	0.582305	-0.150373	0.278994	0.580361	0.765077
78	17.600272	17.696855	-14.549394	0.600801	0.588462	-0.541064	-0.757367	0.635597	-0.149710	0.255800	0.499729	0.827549
79	18.235737	18.288341	-15.044568	0.670592	0.591338	-0.447912	-0.703336	0.698784	-0.130460	0.235848	0.402518	0.884508
80	18.941942	18.872793	-15.442530	0.742374	0.573482	-0.346409	-0.633938	0.768565	-0.086202	0.216802	0.283596	0.934115
81	19.720125	19.427541	-15.734232	0.813125	0.531812	-0.236649	-0.549151	0.835675	-0.008901	0.193029	0.137194	0.971554
82	20.563489	19.930299	-15.920215	0.871198	0.470822	-0.139073	-0.459758	0.881794	0.105180	0.172155	-0.027693	0.984681
83	21.458410	20.364222	-16.018516	0.916841	0.394468	-0.061617	-0.369239	0.896467	0.244968	0.151870	-0.201846	0.967571
84	22.393628	20.715348	-16.051634	0.952033	0.305837	-0.009847	-0.277106	0.875353	0.396193	0.129790	-0.374460	0.918114
85	23.359489	20.972567	-16.046741	0.978252	0.206798	0.016030	-0.182008	0.818776	0.544499	0.099477	-0.535575	0.838609
